"State","HBIPS-2 Measure Description","S HBIPS-2 Overall Rate Per 1000","S HBIPS-2 Overall Num","S HBIPS-2 Overall Den","HBIPS-3 Measure Description","S HBIPS-3 Overall Rate Per 1000","S HBIPS-3 Overall Num","S HBIPS-3 Overall Den","SMD Measure Description","S SMD %","SUB-2/-2a Measure Description","S SUB-2 %","S SUB-2a %","SUB-3/-3a Measure Description","S SUB-3 %","S SUB-3a %","TOB-3/-3a Measure Description","S TOB-3 %","S TOB-3a %","TR-1 Measure Description","S TR-1 %","Start Date","End Date","FAPH Measure Description","S FAPH-30 %","S FAPH-7 %","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Description","S MedCont %","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","S READM-30-IPF # IPFs Worse","S READM-30-IPF # IPFs Same","S READM-30-IPF # IPFs Better","S READM-30-IPF # IPFs Too Few","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","S IMM-2 %","Flu Season Start Date","Flu Season End Date"
AK,Hours of physical-restraint use,0.11,132.05,48425,Hours of seclusion use,0.35,403.74,48425,Screening for metabolic disorders (SMD),74,Alcohol use brief intervention provided or offered,33,51,Alcohol and other drug use disorder treatment provided or offered at discharge,60,56,Tobacco use treatment provided or offered at discharge,29,1,Transition record with specified elements received by discharged patients (TR1),13,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,50,30.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,65,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,2,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),72,10/01/2023,03/31/2024
AL,Hours of physical-restraint use,0.08,873.96,457374,Hours of seclusion use,0.27,2920.74,457374,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,59,80,Alcohol and other drug use disorder treatment provided or offered at discharge,72,70,Tobacco use treatment provided or offered at discharge,63,34,Transition record with specified elements received by discharged patients (TR1),67,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,51.8,26.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,80.4,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,35,0,4,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),84,10/01/2023,03/31/2024
AR,Hours of physical-restraint use,0.17,1241.63,306627,Hours of seclusion use,0.07,551.2,306627,Screening for metabolic disorders (SMD),90,Alcohol use brief intervention provided or offered,40,53,Alcohol and other drug use disorder treatment provided or offered at discharge,61,32,Tobacco use treatment provided or offered at discharge,61,12,Transition record with specified elements received by discharged patients (TR1),77,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,54.7,30.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,80.2,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),2,25,0,4,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,10/01/2023,03/31/2024
AZ,Hours of physical-restraint use,0.10,1819.41,749743,Hours of seclusion use,0.11,1905.82,749743,Screening for metabolic disorders (SMD),81,Alcohol use brief intervention provided or offered,65,77,Alcohol and other drug use disorder treatment provided or offered at discharge,65,60,Tobacco use treatment provided or offered at discharge,62,14,Transition record with specified elements received by discharged patients (TR1),62,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,68.1,48.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,77.1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),2,30,1,2,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),78,10/01/2023,03/31/2024
CA,Hours of physical-restraint use,0.38,19202.7,2127306,Hours of seclusion use,0.39,19800.11,2127306,Screening for metabolic disorders (SMD),81,Alcohol use brief intervention provided or offered,58,75,Alcohol and other drug use disorder treatment provided or offered at discharge,64,55,Tobacco use treatment provided or offered at discharge,51,15,Transition record with specified elements received by discharged patients (TR1),64,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,53.1,32.9,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,75.4,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),6,78,4,7,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),80,10/01/2023,03/31/2024
CO,Hours of physical-restraint use,0.16,1744.15,448674,Hours of seclusion use,0.18,1976.69,448674,Screening for metabolic disorders (SMD),75,Alcohol use brief intervention provided or offered,65,82,Alcohol and other drug use disorder treatment provided or offered at discharge,86,80,Tobacco use treatment provided or offered at discharge,54,20,Transition record with specified elements received by discharged patients (TR1),75,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,61.2,36.8,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,69.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,13,2,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),78,10/01/2023,03/31/2024
CT,Hours of physical-restraint use,0.86,7534.5,366970,Hours of seclusion use,0.45,4004.95,366970,Screening for metabolic disorders (SMD),82,Alcohol use brief intervention provided or offered,80,82,Alcohol and other drug use disorder treatment provided or offered at discharge,79,76,Tobacco use treatment provided or offered at discharge,53,38,Transition record with specified elements received by discharged patients (TR1),32,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,67.3,44.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.8,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,23,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),67,10/01/2023,03/31/2024
DC,Hours of physical-restraint use,0.07,208.06,121825,Hours of seclusion use,0.09,251.66,121825,Screening for metabolic disorders (SMD),82,Alcohol use brief intervention provided or offered,54,78,Alcohol and other drug use disorder treatment provided or offered at discharge,78,56,Tobacco use treatment provided or offered at discharge,66,8,Transition record with specified elements received by discharged patients (TR1),56,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,61.3,51.9,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,61.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,4,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),84,10/01/2023,03/31/2024
DE,Hours of physical-restraint use,0.02,96.57,172756,Hours of seclusion use,0.05,209.35,172756,Screening for metabolic disorders (SMD),80,Alcohol use brief intervention provided or offered,71,80,Alcohol and other drug use disorder treatment provided or offered at discharge,76,62,Tobacco use treatment provided or offered at discharge,55,4,Transition record with specified elements received by discharged patients (TR1),64,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,51.9,28.5,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,81.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,5,0,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),54,10/01/2023,03/31/2024
FL,Hours of physical-restraint use,0.09,4102.09,1838633,Hours of seclusion use,0.07,3226.85,1838633,Screening for metabolic disorders (SMD),80,Alcohol use brief intervention provided or offered,59,78,Alcohol and other drug use disorder treatment provided or offered at discharge,72,64,Tobacco use treatment provided or offered at discharge,62,27,Transition record with specified elements received by discharged patients (TR1),44,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,52.8,31.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,67.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),29,36,0,2,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),70,10/01/2023,03/31/2024
GA,Hours of physical-restraint use,0.45,8043.76,746431,Hours of seclusion use,0.08,1507.64,746431,Screening for metabolic disorders (SMD),80,Alcohol use brief intervention provided or offered,60,72,Alcohol and other drug use disorder treatment provided or offered at discharge,63,56,Tobacco use treatment provided or offered at discharge,55,18,Transition record with specified elements received by discharged patients (TR1),61,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,55.9,30.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,74,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),3,33,2,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,10/01/2023,03/31/2024
HI,Hours of physical-restraint use,0.01,5.09,27347,Hours of seclusion use,0.02,12.47,27347,Screening for metabolic disorders (SMD),15,Alcohol use brief intervention provided or offered,35,75,Alcohol and other drug use disorder treatment provided or offered at discharge,72,57,Tobacco use treatment provided or offered at discharge,9,1,Transition record with specified elements received by discharged patients (TR1),33,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,26.9,15.4,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,1,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),45,10/01/2023,03/31/2024
IA,Hours of physical-restraint use,0.38,955.73,104982,Hours of seclusion use,0.47,1190.22,104982,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,45,50,Alcohol and other drug use disorder treatment provided or offered at discharge,58,44,Tobacco use treatment provided or offered at discharge,46,6,Transition record with specified elements received by discharged patients (TR1),72,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,70.2,41.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,85.2,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,14,1,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),84,10/01/2023,03/31/2024
ID,Hours of physical-restraint use,0.06,184.22,121902,Hours of seclusion use,0.17,506.66,121902,Screening for metabolic disorders (SMD),92,Alcohol use brief intervention provided or offered,87,88,Alcohol and other drug use disorder treatment provided or offered at discharge,81,66,Tobacco use treatment provided or offered at discharge,78,29,Transition record with specified elements received by discharged patients (TR1),85,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.8,34.4,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,72.4,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,7,1,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),84,10/01/2023,03/31/2024
IL,Hours of physical-restraint use,0.22,5128.41,952747,Hours of seclusion use,0.08,1815.07,952747,Screening for metabolic disorders (SMD),84,Alcohol use brief intervention provided or offered,69,79,Alcohol and other drug use disorder treatment provided or offered at discharge,68,56,Tobacco use treatment provided or offered at discharge,57,26,Transition record with specified elements received by discharged patients (TR1),71,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.6,31.9,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,78,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),8,40,0,8,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),85,10/01/2023,03/31/2024
IN,Hours of physical-restraint use,0.31,4411.46,588302,Hours of seclusion use,0.53,7438.21,582013,Screening for metabolic disorders (SMD),64,Alcohol use brief intervention provided or offered,33,73,Alcohol and other drug use disorder treatment provided or offered at discharge,58,53,Tobacco use treatment provided or offered at discharge,41,12,Transition record with specified elements received by discharged patients (TR1),57,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,63,36.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,80.5,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),3,41,1,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),65,10/01/2023,03/31/2024
KS,Hours of physical-restraint use,0.20,498.19,104660,Hours of seclusion use,0.17,439.35,104660,Screening for metabolic disorders (SMD),71,Alcohol use brief intervention provided or offered,38,71,Alcohol and other drug use disorder treatment provided or offered at discharge,56,46,Tobacco use treatment provided or offered at discharge,42,2,Transition record with specified elements received by discharged patients (TR1),61,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,66,40.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,77.5,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,16,1,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),87,10/01/2023,03/31/2024
KY,Hours of physical-restraint use,0.36,3092.74,359477,Hours of seclusion use,0.09,797.78,359477,Screening for metabolic disorders (SMD),91,Alcohol use brief intervention provided or offered,72,84,Alcohol and other drug use disorder treatment provided or offered at discharge,82,62,Tobacco use treatment provided or offered at discharge,66,14,Transition record with specified elements received by discharged patients (TR1),81,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,55.6,28.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,81.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,29,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),83,10/01/2023,03/31/2024
LA,Hours of physical-restraint use,0.11,2292.44,881798,Hours of seclusion use,0.11,2408.44,881798,Screening for metabolic disorders (SMD),83,Alcohol use brief intervention provided or offered,54,81,Alcohol and other drug use disorder treatment provided or offered at discharge,71,57,Tobacco use treatment provided or offered at discharge,61,13,Transition record with specified elements received by discharged patients (TR1),69,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,51.2,32.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),5,66,1,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),80,10/01/2023,03/31/2024
MA,Hours of physical-restraint use,0.27,6807.88,1054829,Hours of seclusion use,0.09,2274.17,1054829,Screening for metabolic disorders (SMD),79,Alcohol use brief intervention provided or offered,71,79,Alcohol and other drug use disorder treatment provided or offered at discharge,78,64,Tobacco use treatment provided or offered at discharge,56,7,Transition record with specified elements received by discharged patients (TR1),71,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,72.4,45.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,80.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),3,45,0,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,10/01/2023,03/31/2024
MD,Hours of physical-restraint use,0.44,4326.66,412375,Hours of seclusion use,0.29,2898.79,412375,Screening for metabolic disorders (SMD),16,Alcohol use brief intervention provided or offered,76,75,Alcohol and other drug use disorder treatment provided or offered at discharge,66,53,Tobacco use treatment provided or offered at discharge,84,3,Transition record with specified elements received by discharged patients (TR1),60,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,69.8,43.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.7,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,3,0,4,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),68,10/01/2023,03/31/2024
ME,Hours of physical-restraint use,0.32,853.61,111025,Hours of seclusion use,0.48,1288.38,111025,Screening for metabolic disorders (SMD),90,Alcohol use brief intervention provided or offered,88,85,Alcohol and other drug use disorder treatment provided or offered at discharge,58,43,Tobacco use treatment provided or offered at discharge,31,5,Transition record with specified elements received by discharged patients (TR1),84,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,69.9,42.8,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,85.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,4,2,2,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),38,10/01/2023,03/31/2024
MI,Hours of physical-restraint use,0.35,6922.4,814989,Hours of seclusion use,0.20,3837.97,814989,Screening for metabolic disorders (SMD),79,Alcohol use brief intervention provided or offered,57,68,Alcohol and other drug use disorder treatment provided or offered at discharge,62,44,Tobacco use treatment provided or offered at discharge,57,22,Transition record with specified elements received by discharged patients (TR1),53,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.5,37.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,87.2,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,47,2,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),79,10/01/2023,03/31/2024
MN,Hours of physical-restraint use,2.34,11211.95,199219,Hours of seclusion use,3.01,14376.23,199219,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,59,75,Alcohol and other drug use disorder treatment provided or offered at discharge,61,47,Tobacco use treatment provided or offered at discharge,47,4,Transition record with specified elements received by discharged patients (TR1),64,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,73.8,39.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,91.2,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,14,5,6,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),74,10/01/2023,03/31/2024
MO,Hours of physical-restraint use,0.07,1396.89,823678,Hours of seclusion use,0.11,2244.46,823678,Screening for metabolic disorders (SMD),78,Alcohol use brief intervention provided or offered,65,79,Alcohol and other drug use disorder treatment provided or offered at discharge,72,60,Tobacco use treatment provided or offered at discharge,57,12,Transition record with specified elements received by discharged patients (TR1),52,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,56.4,30.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,26,2,8,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
