"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,14,01/01/2023,12/31/2023
AL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2023,12/31/2023
AR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,01/01/2023,12/31/2023
AS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2023,12/31/2023
AZ,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.94,,01/01/2023,12/31/2023
CA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,01/01/2023,12/31/2023
CO,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2023,12/31/2023
CT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2023,12/31/2023
DC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,14,01/01/2023,12/31/2023
DE,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,14,01/01/2023,12/31/2023
FL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,01/01/2023,12/31/2023
GA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2023,12/31/2023
GU,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2023,12/31/2023
HI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.90,,01/01/2023,12/31/2023
IA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2023,12/31/2023
ID,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2023,12/31/2023
IL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2023,12/31/2023
IN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2023,12/31/2023
KS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2023,12/31/2023
KY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,01/01/2023,12/31/2023
LA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.08,,01/01/2023,12/31/2023
MA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2023,12/31/2023
MD,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2023,12/31/2023
ME,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.94,,01/01/2023,12/31/2023
MI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2023,12/31/2023
MN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,01/01/2023,12/31/2023
MO,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2023,12/31/2023
MP,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2023,12/31/2023
MS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2023,12/31/2023
MT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.89,,01/01/2023,12/31/2023
NC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2023,12/31/2023
ND,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,14,01/01/2023,12/31/2023
NE,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2023,12/31/2023
NH,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,14,01/01/2023,12/31/2023
NJ,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.07,,01/01/2023,12/31/2023
NM,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,,01/01/2023,12/31/2023
NV,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.05,,01/01/2023,12/31/2023
NY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2023,12/31/2023
OH,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2023,12/31/2023
OK,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2023,12/31/2023
OR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.88,,01/01/2023,12/31/2023
PA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2023,12/31/2023
PR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2023,12/31/2023
RI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2023,12/31/2023
SC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2023,12/31/2023
SD,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,14,01/01/2023,12/31/2023
TN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,01/01/2023,12/31/2023
TX,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,01/01/2023,12/31/2023
UT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2023,12/31/2023
VA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,01/01/2023,12/31/2023
VI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2023,12/31/2023
VT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,14,01/01/2023,12/31/2023
WA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,14,01/01/2023,12/31/2023
WI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,,01/01/2023,12/31/2023
WV,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2023,12/31/2023
WY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2023,12/31/2023
